unique_id,ds,y
0,02/24/2010,461
0,02/25/2010,505
0,02/26/2010,466
0,02/27/2010,371
0,02/28/2010,419
0,03/01/2010,382
0,03/02/2010,397
0,03/03/2010,460
0,03/04/2010,567
0,03/05/2010,488
0,03/06/2010,412
0,03/07/2010,374
0,03/08/2010,451
0,03/09/2010,448
0,03/10/2010,501
0,03/11/2010,549
0,03/12/2010,478
0,03/13/2010,505
0,03/14/2010,430
0,03/15/2010,379
0,03/16/2010,409
0,03/17/2010,451
0,03/18/2010,539
0,03/19/2010,449
0,03/20/2010,427
0,03/21/2010,443
0,03/22/2010,433
0,03/23/2010,420
0,03/24/2010,443
0,03/25/2010,527
0,03/26/2010,516
0,03/27/2010,439
0,03/28/2010,414
0,03/29/2010,417
0,03/30/2010,392
0,03/31/2010,509
0,04/01/2010,516
0,04/02/2010,515
0,04/03/2010,443
0,04/04/2010,462
0,04/05/2010,379
0,04/06/2010,399
0,04/07/2010,437
0,04/08/2010,511
0,04/09/2010,438
0,04/10/2010,439
0,04/11/2010,442
0,04/12/2010,451
0,04/13/2010,433
0,04/14/2010,452
0,04/15/2010,502
0,04/16/2010,484
0,04/17/2010,411
0,04/18/2010,381
0,04/19/2010,414
0,04/20/2010,455
0,04/21/2010,506
0,04/22/2010,562
0,04/23/2010,523
0,04/24/2010,482
0,04/25/2010,472
0,04/26/2010,451
0,04/27/2010,496
0,04/28/2010,457
0,04/29/2010,583
0,04/30/2010,467
0,05/01/2010,457
0,05/02/2010,472
0,05/03/2010,418
0,05/04/2010,510
0,05/05/2010,474
0,05/06/2010,528
0,05/07/2010,460
0,05/08/2010,453
0,05/09/2010,446
0,05/10/2010,507
0,05/11/2010,449
0,05/12/2010,505
0,05/13/2010,517
0,05/14/2010,477
0,05/15/2010,518
0,05/16/2010,458
0,05/17/2010,476
0,05/18/2010,445
0,05/19/2010,466
0,05/20/2010,467
0,05/21/2010,480
0,05/22/2010,419
0,05/23/2010,406
0,05/24/2010,367
0,05/25/2010,432
0,05/26/2010,446
0,05/27/2010,486
0,05/28/2010,416
0,05/29/2010,407
0,05/30/2010,425
0,05/31/2010,383
0,06/01/2010,416
0,06/02/2010,429
0,06/03/2010,467
0,06/04/2010,437
0,06/05/2010,453
0,06/06/2010,495
0,06/07/2010,444
0,06/08/2010,444
0,06/09/2010,471
0,06/10/2010,539
0,06/11/2010,514
0,06/12/2010,454
0,06/13/2010,436
0,06/14/2010,442
0,06/15/2010,440
0,06/16/2010,464
0,06/17/2010,523
0,06/18/2010,449
0,06/19/2010,458
0,06/20/2010,444
0,06/21/2010,430
0,06/22/2010,432
0,06/23/2010,519
0,06/24/2010,588
0,06/25/2010,473
0,06/26/2010,465
0,06/27/2010,459
0,06/28/2010,487
0,06/29/2010,513
0,06/30/2010,459
0,07/01/2010,584
0,07/02/2010,496
0,07/03/2010,463
0,07/04/2010,439
0,07/05/2010,470
0,07/06/2010,434
0,07/07/2010,485
0,07/08/2010,523
0,07/09/2010,470
0,07/10/2010,444
0,07/11/2010,442
0,07/12/2010,469
0,07/13/2010,478
0,07/14/2010,464
0,07/15/2010,555
0,07/16/2010,444
0,07/17/2010,422
0,07/18/2010,418
0,07/19/2010,398
0,07/20/2010,468
0,07/21/2010,475
0,07/22/2010,511
0,07/23/2010,443
0,07/24/2010,456
0,07/25/2010,419
0,07/26/2010,453
0,07/27/2010,436
0,07/28/2010,453
0,07/29/2010,526
0,07/30/2010,430
0,07/31/2010,449
0,08/01/2010,477
0,08/02/2010,408
0,08/03/2010,473
0,08/04/2010,457
0,08/05/2010,538
0,08/06/2010,513
0,08/07/2010,431
0,08/08/2010,450
0,08/09/2010,435
0,08/10/2010,427
0,08/11/2010,480
0,08/12/2010,502
0,08/13/2010,407
0,08/14/2010,482
0,08/15/2010,404
0,08/16/2010,427
0,08/17/2010,421
0,08/18/2010,461
0,08/19/2010,526
0,08/20/2010,435
0,08/21/2010,418
0,08/22/2010,423
0,08/23/2010,432
0,08/24/2010,431
0,08/25/2010,462
0,08/26/2010,563
0,08/27/2010,516
0,08/28/2010,472
0,08/29/2010,417
0,08/30/2010,448
0,08/31/2010,460
0,09/01/2010,488
0,09/02/2010,548
0,09/03/2010,477
0,09/04/2010,441
0,09/05/2010,467
0,09/06/2010,463
0,09/07/2010,465
0,09/08/2010,492
0,09/09/2010,514
0,09/10/2010,482
0,09/11/2010,485
0,09/12/2010,492
0,09/13/2010,469
0,09/14/2010,467
0,09/15/2010,491
0,09/16/2010,528
0,09/17/2010,505
0,09/18/2010,453
0,09/19/2010,413
0,09/20/2010,458
0,09/21/2010,461
0,09/22/2010,477
0,09/23/2010,517
0,09/24/2010,448
0,09/25/2010,415
0,09/26/2010,430
0,09/27/2010,446
0,09/28/2010,428
0,09/29/2010,462
0,09/30/2010,488
0,10/01/2010,466
0,10/02/2010,453
0,10/03/2010,448
0,10/04/2010,417
0,10/05/2010,418
0,10/06/2010,460
0,10/07/2010,498
0,10/08/2010,430
0,10/09/2010,385
0,10/10/2010,386
0,10/11/2010,385
0,10/12/2010,398
0,10/13/2010,434
0,10/14/2010,533
0,10/15/2010,450
0,10/16/2010,401
0,10/17/2010,336
0,10/18/2010,370
0,10/19/2010,375
0,10/20/2010,422
0,10/21/2010,461
0,10/22/2010,426
0,10/23/2010,423
0,10/24/2010,392
0,10/25/2010,437
0,10/26/2010,412
0,10/27/2010,408
0,10/28/2010,455
0,10/29/2010,413
0,10/30/2010,439
0,10/31/2010,408
0,11/01/2010,407
0,11/02/2010,405
0,11/03/2010,466
0,11/04/2010,493
0,11/05/2010,459
0,11/06/2010,427
0,11/07/2010,392
0,11/08/2010,371
0,11/09/2010,435
0,11/10/2010,411
0,11/11/2010,452
0,11/12/2010,452
0,11/13/2010,393
0,11/14/2010,399
0,11/15/2010,386
0,11/16/2010,385
0,11/17/2010,438
0,11/18/2010,506
0,11/19/2010,436
0,11/20/2010,416
0,11/21/2010,394
0,11/22/2010,386
0,11/23/2010,439
0,11/24/2010,477
0,11/25/2010,497
0,11/26/2010,444
0,11/27/2010,430
0,11/28/2010,377
0,11/29/2010,409
0,11/30/2010,397
0,12/01/2010,411
0,12/02/2010,487
0,12/03/2010,469
0,12/04/2010,413
0,12/05/2010,366
0,12/06/2010,343
0,12/07/2010,366
0,12/08/2010,474
0,12/09/2010,488
0,12/10/2010,461
0,12/11/2010,429
0,12/12/2010,437
0,12/13/2010,414
0,12/14/2010,427
0,12/15/2010,437
0,12/16/2010,500
0,12/17/2010,442
0,12/18/2010,434
0,12/19/2010,465
0,12/20/2010,476
0,12/21/2010,438
0,12/22/2010,515
0,12/23/2010,559
0,12/24/2010,460
0,12/25/2010,416
0,12/26/2010,482
0,12/27/2010,474
0,12/28/2010,421
0,12/29/2010,469
0,12/30/2010,536
0,12/31/2010,484
0,01/01/2011,408
